Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.519999980926514,4.519999980926514,4.389999866485596,4.429999828338623,-4.807629849779005e-08,144580.0
2010-01-05,4.400000095367432,4.630000114440918,4.380000114440918,4.619999885559082,-5.013825798982907e-08,375871.0
2010-01-06,4.619999885559082,4.619999885559082,4.619999885559082,4.619999885559082,-5.013825798982907e-08,0.0
2010-01-07,4.619999885559082,4.75,4.510000228881836,4.619999885559082,-5.013825798982907e-08,462033.0
2010-01-08,4.619999885559082,4.699999809265137,4.5,4.590000152587891,-4.981269441373115e-08,214590.0
2010-01-11,4.619999885559082,4.699999809265137,4.5,4.5,-4.88359681583006e-08,265641.0
2010-01-12,4.53000020980835,4.53000020980835,4.090000152587891,4.139999866485596,-4.4929102216428873e-08,641357.0
2010-01-13,4.139999866485596,4.289999961853027,4.079999923706055,4.139999866485596,-4.4929102216428873e-08,600487.0
2010-01-14,4.599999904632568,4.760000228881836,4.320000171661377,4.599999904632568,-4.992122271119115e-08,1809215.0
2010-01-15,4.679999828338623,4.679999828338623,4.349999904632568,4.360000133514404,-4.731664660084789e-08,462433.0
2010-01-19,4.329999923706055,4.480000019073486,4.119999885559082,4.480000019073486,-4.8618918668807964e-08,664818.0
2010-01-20,4.5,4.519999980926514,4.28000020980835,4.28000020980835,-4.644844509016366e-08,417117.0
2010-01-21,4.28000020980835,4.360000133514404,4.079999923706055,4.179999828338623,-4.536319408998679e-08,746621.0
2010-01-22,4.150000095367432,4.28000020980835,4.119999885559082,4.190000057220459,-4.5471729492874147e-08,457841.0
2010-01-25,4.150000095367432,4.329999923706055,4.110000133514404,4.260000228881836,-4.6231384942529985e-08,760781.0
2010-01-26,4.28000020980835,4.53000020980835,4.260000228881836,4.340000152587891,-4.7099586453214215e-08,995926.0
2010-01-27,4.300000190734863,4.389999866485596,4.190000057220459,4.300000190734863,-4.666549102694262e-08,527744.0
2010-01-28,4.349999904632568,4.369999885559082,4.139999866485596,4.289999961853027,-4.65569662821963e-08,804895.0
2010-01-29,4.320000171661377,4.440000057220459,4.28000020980835,4.349999904632568,-4.7208107645246855e-08,889192.0
2010-02-01,4.389999866485596,4.429999828338623,4.309999942779541,4.349999904632568,-4.7208107645246855e-08,332805.0
2010-02-02,4.349999904632568,4.460000038146973,4.309999942779541,4.369999885559082,-4.7425150029312135e-08,352491.0
2010-02-03,4.440000057220459,4.5,4.309999942779541,4.340000152587891,-4.7099586453214215e-08,701340.0
2010-02-04,4.340000152587891,4.340000152587891,4.119999885559082,4.199999809265137,-4.558024357947943e-08,534661.0
